Date,Rain
12/1/1999,5.72
1/1/2000,0.04
2/1/2000,15.12
3/1/2000,18.27
4/1/2000,1.89
5/1/2000,2.96
6/1/2000,1.22
7/1/2000,0.32
8/1/2000,0
9/1/2000,0
10/1/2000,1.22
11/1/2000,6.67
12/1/2000,0.32
1/1/2001,0.63
2/1/2001,10.7
3/1/2001,9.91
4/1/2001,5.09
5/1/2001,3.59
6/1/2001,0
7/1/2001,0
8/1/2001,0
9/1/2001,0.36
10/1/2001,0
11/1/2001,1.58
12/1/2001,11.6
1/1/2002,9
2/1/2002,3.08
3/1/2002,1.82
4/1/2002,3.67
5/1/2002,0.63
6/1/2002,1.11
7/1/2002,0
8/1/2002,0
9/1/2002,0
10/1/2002,0.16
11/1/2002,0
12/1/2002,7.66
1/1/2003, NA
2/1/2003, NA
3/1/2003, NA
4/1/2003, NA
5/1/2003, NA
6/1/2003, NA
7/1/2003, NA
8/1/2003,NA
9/1/2003, NA
10/1/2003, NA
11/1/2003, NA
12/1/2003,1.5
1/1/2004,12.08
2/1/2004,2.8
3/1/2004,9.24
4/1/2004,0
5/1/2004,0
6/1/2004,0
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,0
11/1/2004,9.67
12/1/2004,2.41
1/1/2005,15.95
2/1/2005,8.91
3/1/2005,9.24
4/1/2005,7.53
5/1/2005,1.42
6/1/2005,1.34
7/1/2005,0.08
8/1/2005,0
9/1/2005,0
10/1/2005,0
11/1/2005,0
12/1/2005,0.63
1/1/2006,11.77
2/1/2006,2.56
3/1/2006,3.27
4/1/2006,5.79
5/1/2006,0.08
6/1/2006,2.87
7/1/2006,0
8/1/2006,0
9/1/2006,0
10/1/2006,0
11/1/2006,0.35
12/1/2006,0.59
1/1/2007,6.22
2/1/2007,2.05
3/1/2007,6.22
4/1/2007,0.12
5/1/2007,1.42
6/1/2007,0.08
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0.24
11/1/2007,2.05
12/1/2007,0.2
1/1/2008,6.61
2/1/2008,7.52
3/1/2008,7.09
4/1/2008,0.08
5/1/2008,1.54
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,0
11/1/2008,0.71
12/1/2008,3.23
1/1/2009,4.76
2/1/2009,3.46
3/1/2009,5.79
4/1/2009,3.54
5/1/2009,0.75
6/1/2009,0.59
7/1/2009,0
8/1/2009,0
9/1/2009,0
10/1/2009,0.04
11/1/2009,13.66
12/1/2009,0.08
1/1/2010,8.31
2/1/2010,9.69
3/1/2010,8.5
4/1/2010,2.87
5/1/2010,5.35
6/1/2010,0.71
7/1/2010,0
8/1/2010,0
9/1/2010,0
10/1/2010,0
11/1/2010,2.01
12/1/2010,3.74
1/1/2011,17.52
2/1/2011,3.66
3/1/2011,10.71
4/1/2011,14.06
5/1/2011,0.63
6/1/2011,3.19
7/1/2011,3.94
8/1/2011,0
9/1/2011,0
10/1/2011,0
11/1/2011,3.07
12/1/2011,4.09
1/1/2012,0.39
2/1/2012,6.85
3/1/2012,1.69
4/1/2012,5.12
5/1/2012,3.43
6/1/2012,0
7/1/2012,0
8/1/2012,0
9/1/2012,0
10/1/2012,0
11/1/2012,1.26
12/1/2012,6.46
1/1/2013,13.98
2/1/2013,2.05
3/1/2013,0.39
4/1/2013,2.05
5/1/2013,0.91
6/1/2013,0.47
7/1/2013,0
8/1/2013,0
9/1/2013,0
10/1/2013,0.08
11/1/2013,0
12/1/2013,0.24
1/1/2014,0.75
2/1/2014,0
3/1/2014,6.14
4/1/2014,3.5
5/1/2014,1.14
6/1/2014,0
7/1/2014,0
8/1/2014,0
9/1/2014,0
10/1/2014,0
11/1/2014,1.18
12/1/2014,2.36
1/1/2015,14.17
2/1/2015,0.24
3/1/2015,6.97
4/1/2015,0.12
5/1/2015,1.65
6/1/2015,0.12
7/1/2015,0
8/1/2015,1.54
9/1/2015,0.03
10/1/2015,0
11/1/2015,0.12
12/1/2015,2.01
1/1/2016,3.19
2/1/2016,10.47
3/1/2016,1.34
4/1/2016,9.02
5/1/2016,0.67
6/1/2016,0.07
7/1/2016,0
8/1/2016,0
9/1/2016,0
10/1/2016,0
11/1/2016,4.26
12/1/2016,3.34
1/1/2017,8.51
2/1/2017,33.92
3/1/2017,23.6
4/1/2017,5.32
5/1/2017,7.96
6/1/2017,0.2
7/1/2017,0
8/1/2017,0
9/1/2017,0
10/1/2017,0.04
11/1/2017,0.24
12/1/2017,1.97
1/1/2018,0.07
2/1/2018,4.57
3/1/2018,0.28
4/1/2018,21.91
5/1/2018,0.35
6/1/2018,0.08
7/1/2018,0
