Date,SS1,SS2,SS3,
1/2/2013,21.45,20.97,19.29,
1/15/2013,21.32,20.88,19.24,
2/4/2013,21.11,20.69,19.13,
2/14/2013,21.16,20.66,19.13,
3/4/2013,20.99,20.56,18.83,
3/18/2013,21.05,20.61,18.76,
3/29/2013,20.89,20.55,18.77,
4/15/2013,20.80,20.08,18.55,
5/2/2013,20.12,19.68,17.54,
5/15/2013,17.83,17.31,15.23,
6/3/2013,13.95,13.33,11.54,
6/15/2013,14.57,13.95,12.27,
7/3/2013,12.89,12.30,10.89,
7/15/2013,10.87,10.30,8.94,
7/22/2013,10.39,9.76,8.43,
8/1/2013,8.95,8.37,7.33,
8/6/2013,8.33,7.75,6.33,
8/13/2013,7.36,6.81,5.61,
8/15/2013,6.47,5.88,4.86,
8/19/2013,5.99,5.69,4.49,
8/26/2013,5.63,5.22,4.06,
9/3/2013,3.71,3.27,2.33,
9/9/2013,3.22,2.79,2.04,
9/16/2013,3.37,3.00,2.15,
9/23/2013,4.34,4.11,3.12,
10/4/2013,4.90,4.65,3.51,
10/7/2013,5.97,5.77,4.82,
10/15/2013,4.87,4.64,4.19,
10/28/2013,6.77,6.52,5.42,
11/4/2013,7.28,7.01,6.01,
11/13/2013,6.77,6.79,5.72,
11/15/2013,5.82,5.58,4.68,
11/19/2013,6.36,6.52,5.35,
11/25/2013,7.04,7.20,5.89,
12/3/2013,7.37,7.61,6.32,
12/9/2013,7.27,7.50,6.15,
12/16/2013,5.47,5.62,5.96,
12/22/2013,7.32,7.10,6.18,
12/30/2013,5.84,5.83,4.95,
1/6/2014,6.93,6.92,5.85,
1/13/2014,7.39,7.10,6.25,
1/21/2014,7.35,7.06,6.41,
1/27/2014,7.50,7.23,6.20,
2/3/2014,5.77,5.51,4.65,
2/10/2014,6.35,6.22,5.40,
2/18/2014,7.63,7.38,6.45,
2/24/2014,7.00,6.68,5.65,
3/3/2014,18.75,17.56,15.19,
3/10/2014,20.65,20.41,18.63,
3/17/2014,20.75,20.46,18.83,
3/24/2014,19.92,19.61,17.65,
3/31/2014,18.75,18.56,16.44,
4/7/2014,21.09,20.71,18.31,
4/14/2014,21.15,20.81,18.90,
4/21/2014,20.06,19.61,17.63,
4/28/2014,19.45,18.82,17.50,
5/5/2014,19.20,18.83,17.00,
5/12/2014,19.24,18.91,17.05,
5/19/2014,18.71,18.36,16.57,
6/2/2014,17.49,17.21,15.42,
6/9/2014,17.26,16.91,15.21,
6/16/2014,16.57,15.81,14.55,
6/23/2014,16.84,16.52,14.87,
6/30/2014,16.85,16.49,14.85,
7/7/2014,16.53,16.30,14.73,
