created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-09-13 19:00:00 UTC,165.33,306.78,363.98,20,-93.25,83.88,22.38,203.8
2020-09-13 20:00:00 UTC,161.28,297.66,351.16,58.38,-92.79,82.83,22.72,197.74
2020-09-13 21:00:00 UTC,155.57,283.04,333.91,118,-92.4,81.17,23.87,187.97
2020-09-13 22:00:00 UTC,156.1,286.69,338.48,178.96,-92.61,77.75,30.21,190.42
2020-09-13 23:00:00 UTC,155.36,285.18,336.66,240.43,-92.64,74.71,38.93,189.43
2020-09-14 00:00:00 UTC,153.63,283.76,335.89,299,-92.47,71.17,45.5,188.45
2020-09-14 01:00:00 UTC,151.17,279.1,329.37,359,-92.57,67.33,49.8,185.37
2020-09-14 02:00:00 UTC,147.45,272.86,323.27,418.57,-93.36,64.29,54.07,181.19
2020-09-14 03:00:00 UTC,138.67,255.37,302.48,479.79,-91.72,62.1,55.62,169.51
2020-09-14 04:00:00 UTC,126.45,230.11,271.21,539,-93.1,61,52.43,152.68
2020-09-14 05:00:00 UTC,153.56,274.92,320.62,599,-92.53,60.3,49.6,182.56
2020-09-14 06:00:00 UTC,244.96,455.42,531.56,659,-91.7,59.97,41.93,302.9
2020-09-14 07:00:00 UTC,327.08,650.45,766.18,719,-91.13,60.7,35.23,432.95
2020-09-14 08:00:00 UTC,300.9,588.38,693.44,779,-91.5,59.47,39.87,391.6
2020-09-14 09:00:00 UTC,333.86,677.64,804.73,839,-92.5,59,38.87,451.12
2020-09-14 10:00:00 UTC,335.76,690.15,822.03,899,-92,57.97,39.9,459.46
2020-09-14 11:00:00 UTC,342.97,729.35,880,959,-92.77,57.43,40.47,485.55
2020-09-14 12:00:00 UTC,350.89,773.33,942.44,1019,-91.23,57.37,39.6,514.82
